Id del anuncio;Tipo de inmueble;Dirección;Precio;Habitaciones;Baños;Barrio;Ascensor (Sí/No);Parking (Sí/No)
105310557;Piso;calle del Poeta Mas y Ros;280000;3;1;Ciutat Jardí;Sí;No
106476148;Piso;Barrio La Carrasca;590000;3;2;La Carrasca;Sí;Sí
105327911;Piso;plaza d'Olof Palme;169000;3;1;L'Amistat;No;No
106325777;Piso;Barrio La Vega Baixa;503700;4;3;La Vega Baixa;Sí;No
105314524;Piso;plaza d'Olof Palme;169000;3;1;L'Amistat;No;No
102082164;Piso;Barrio Ciutat Jardí;280000;3;2;Ciutat Jardí;Sí;No
104088920;Estudio;Barrio Ciutat Jardí;345000;0;2;Ciutat Jardí;Sí;No
106062464;Estudio;Barrio Ciutat Jardí;750000;0;5;Ciutat Jardí;Sí;No
106663454;Piso;Barrio L'Amistat;199000;3;1;L'Amistat;Sí;No
106460310;Piso;Barrio L'Amistat;120000;1;1;L'Amistat;No;No
105713386;Piso;calle de Rubén Darío;340000;4;2;La Carrasca;No;No
105626746;Piso;Barrio L'Illa Perduda;270000;3;2;L'Illa Perduda;Sí;No
106653539;Piso;avenida de Blasco Ibáñez;410000;3;2;La Carrasca;Sí;No
105503607;Piso;Barrio L'Illa Perduda;270000;3;2;L'Illa Perduda;Sí;No
104594920;Ático;avenida Blasco Ibañez, 137;771000;3;2;Ciutat Jardí;Sí;Sí
106678747;Piso;calle jose maria haro;280000;4;2;La Carrasca;Sí;No
105204652;Piso;Barrio Ciutat Jardí;582000;3;2;Ciutat Jardí;Sí;Sí
105215609;Ático;Barrio Ciutat Jardí;815000;3;2;Ciutat Jardí;Sí;Sí
106677407;Piso;calle de Gorgos;550000;7;3;La Vega Baixa;Sí;No
105204680;Piso;Barrio Ciutat Jardí;771000;3;2;Ciutat Jardí;Sí;Sí
102395488;Ático;avenida Blasco Ibañez, 137;815000;3;2;Ciutat Jardí;Sí;Sí
104853362;Piso;avenida Blasco Ibañez, 137;582000;3;2;Ciutat Jardí;Sí;Sí
106162023;Estudio;Barrio Ciutat Jardí;750000;0;5;Ciutat Jardí;Sí;No
103266774;Piso;Barrio L'Illa Perduda;270000;3;2;L'Illa Perduda;Sí;No
106677121;Piso;calle de Campoamor, 3;190000;3;1;L'Amistat;Sí;No
105465252;Piso;plaza d'Hondures;359000;4;2;Ciutat Jardí;Sí;Sí
105912788;Ático;calle del Serpis, 66;480000;4;2;Ciutat Jardí;Sí;Sí
106663164;Piso;calle del Vinalopó;450000;6;2;La Vega Baixa;Sí;No
106597630;Piso;calle de Campoamor;349999;4;2;Ciutat Jardí;Sí;No
105893514;Piso;calle Historiador Claudio Sánchez Albornoz;345000;3;2;La Carrasca;Sí;No
106674138;Piso;Barrio L'Amistat;240000;1;1;L'Amistat;Sí;No
106398391;Piso;calle de Santa Cruz de la Zarza, 2 -10;206000;1;1;La Carrasca;Sí;No
105610957;Piso;Barrio La Vega Baixa;494980;5;2;La Vega Baixa;Sí;Sí
105252241;Piso;Barrio La Vega Baixa;469000;3;2;La Vega Baixa;Sí;Sí
106571744;Piso;Pintor José Mongrell, 3;169900;1;1;L'Illa Perduda;Sí;No
105530817;Piso;avenida del Cardenal Benlloch;330000;4;1;L'Amistat;Sí;No
106608741;Piso;plaza d'Hondures;305000;3;2;Ciutat Jardí;Sí;No
106584656;Piso;avenida de Blasco Ibáñez;330000;4;2;Ciutat Jardí;Sí;Sí
106372484;Piso;paseo de les Facultats;598000;4;2;La Carrasca;Sí;Sí
101180774;Piso;avenida de Blasco Ibáñez;250000;3;1;L'Illa Perduda;Sí;No
88668112;Piso;calle Santos Justo y Pastor;216000;2;1;Ciutat Jardí;Sí;No
106616750;Piso;calle del Poeta Mas y Ros;230000;4;2;Ciutat Jardí;Sí;No
106130310;Piso;avenida de Catalunya;380000;5;3;La Carrasca;Sí;No
104441656;Piso;avenida de Catalunya;380000;5;3;La Carrasca;Sí;No
103687663;Piso;calle dels Sants Just i Pastor;105000;3;1;L'Amistat;No;No
106107033;Piso;plaza d'Hondures;290000;3;2;Ciutat Jardí;Sí;No
106437856;Piso;avenida del Cardenal Benlloch;190000;3;1;L'Amistat;Sí;No
99449548;Piso;plaza d'Hondures;290000;6;2;Ciutat Jardí;Sí;No
106387115;Piso;calle de Crevillent;189000;3;1;L'Illa Perduda;Sí;No
106000536;Piso;Barrio La Carrasca;350000;4;2;La Carrasca;Sí;No
105592600;Piso;Barrio La Carrasca;350000;4;2;La Carrasca;Sí;No
106025797;Piso;ingeniero rafael janini;190000;3;1;L'Illa Perduda;Sí;No
106572684;Piso;Ciutat Jardi;207000;3;2;Ciutat Jardí;Sí;No
106313436;Piso;calle del Pintor Ferrer Calatayud, 31;290000;2;2;L'Illa Perduda;No;No
106643662;Piso;Barrio La Carrasca;370000;3;2;La Carrasca;Sí;No
106499212;Piso;Barrio L'Illa Perduda;379000;3;2;L'Illa Perduda;Sí;Sí
106635371;Piso;Barrio La Vega Baixa;370000;4;2;La Vega Baixa;Sí;Sí
106573531;Piso;Barrio L'Illa Perduda;169900;1;1;L'Illa Perduda;Sí;No
104815660;Piso;calle del Vinalopó;400000;3;1;La Vega Baixa;Sí;No
106516681;Piso;avenida de Blasco Ibáñez;330000;3;2;Ciutat Jardí;Sí;Sí
104111228;Piso;Barrio La Vega Baixa;455000;4;2;La Vega Baixa;Sí;Sí
106156900;Piso;Barrio L'Illa Perduda;220000;4;2;L'Illa Perduda;Sí;Sí
105955229;Piso;calle de Sèneca;209000;3;1;L'Amistat;Sí;No
104125586;Piso;Barrio L'Illa Perduda;270000;3;2;L'Illa Perduda;Sí;No
104303654;Piso;Barrio L'Illa Perduda;315000;5;2;L'Illa Perduda;Sí;No
106121609;Piso;Barrio La Vega Baixa;360000;3;2;La Vega Baixa;Sí;No
104263759;Piso;camino del Cabanyal, 30;319000;2;2;La Carrasca;Sí;No
106514513;Piso;Barrio La Carrasca;370000;3;2;La Carrasca;Sí;No
104113271;Piso;avenida de Blasco Ibáñez, 154;400000;3;2;Ciutat Jardí;Sí;No
106168449;Piso;calle del Serpis;350000;3;2;La Vega Baixa;Sí;No
106190377;Piso;Barrio L'Illa Perduda;199800;3;1;L'Illa Perduda;No;No
104889449;Piso;calle del Poeta Andrés Cabrelles;72000;2;1;L'Illa Perduda;Sí;No
106261825;Piso;Barrio La Carrasca;475000;3;2;La Carrasca;Sí;Sí
105407485;Piso;Barrio La Carrasca;325000;4;2;La Carrasca;Sí;No
104886523;Piso;calle de la República Argentina, 5;66400;3;1;L'Amistat;Sí;No
102327244;Estudio;calle del Poeta Mas y Ros, 104;170000;0;1;L'Illa Perduda;No;No
104913556;Piso;calle Pintor José Mongrell;125200;1;1;L'Illa Perduda;No;No
106400132;Piso;calle de Campoamor;70000;3;1;L'Amistat;No;No
106218180;Piso;calle dels Sants Just i Pastor, 5;100000;3;1;L'Amistat;No;No
105707450;Piso;calle de Yecla;70400;2;1;L'Amistat;No;No
102423623;Piso;Barrio L'Amistat;240000;1;1;L'Amistat;Sí;No
2094712;Piso;calle Pintor Ferrer Calatayud, 23;240000;2;1;L'Illa Perduda;Sí;No
1626165;Piso;calle Pedro de Valencia, 22;220000;3;2;L'Illa Perduda;Sí;No
96677029;Piso;calle del Pintor Ferrer Calatayud, 11;270000;3;2;L'Illa Perduda;Sí;No
27086298;Ático;plaza José María Orense, 4;400000;4;2;Ciutat Jardí;Sí;No
100303733;Piso;dr.vicente pallares, 44;147000;3;2;L'Amistat;Sí;No
105533162;Ático;calle de la Florista;350000;4;2;Benicalap;Sí;Sí
105306273;Piso;calle de la Florista;180000;2;1;Ciutat Fallera;No;No
106650700;Piso;avenida de Burjassot;130000;1;1;Benicalap;Sí;No
106636090;Piso;avenida de Burjassot;190000;3;2;Benicalap;No;No
105425744;Duplex;calle de la Serra d'Agullent s/n;359000;3;2;Benicalap;Sí;Sí
105372413;Piso;calle del Poeta Serrano Clavero;295000;2;2;Benicalap;Sí;No
101184367;Piso;Barrio Benicalap;220000;2;1;Benicalap;Sí;No
106626674;Piso;Barrio Benicalap;350000;4;2;Benicalap;Sí;No
105994958;Piso;Barrio Benicalap;480000;3;2;Benicalap;Sí;No
106161403;Piso;Barrio Benicalap;225000;3;2;Benicalap;Sí;No
106635657;Piso;calle de Salvador Rodríguez Bronchú;375000;4;2;Nou Benicalap;Sí;Sí
105940043;Piso;calle de Sant Maure;60000;1;1;Ciutat Fallera;No;No
105273409;Chalet;Barrio Benicalap;479000;3;2;Benicalap;No;Sí
104441587;Piso;calle del Bon Recés;280000;2;2;Benicalap;Sí;No
105096660;Piso;avenida Cortes Valencianas;230000;1;1;Benicalap;Sí;Sí
106663322;Piso;Barrio Ciutat Fallera;180000;2;1;Ciutat Fallera;No;No
101518008;Piso;calle de la Vall d'Aiora s/n;397500;3;2;Benicalap;Sí;No
100653224;Piso;calle del Riu Bidasoa;570000;4;2;Nou Benicalap;Sí;No
97924326;Ático;calle del Riu Bidasoa;577000;4;2;Nou Benicalap;Sí;Sí
101518025;Piso;calle de la Vall d'Aiora s/n;515500;3;2;Benicalap;No;No
105053171;Piso;calle de la Vall d'Aiora s/n;496400;3;2;Benicalap;No;No
106504126;Piso;calle de la Serra d'Agullent;175000;2;1;Benicalap;Sí;No
104919280;Piso;calle del Bon Recés;250000;2;2;Benicalap;Sí;No
106102794;Piso;calle de Manuel Melià i Fuster;298000;3;2;Nou Benicalap;Sí;Sí
104674614;Ático;calle del Riu Bidasoa;577000;4;2;Nou Benicalap;Sí;Sí
106039260;Ático;calle del Riu Nervión;570000;4;2;Nou Benicalap;Sí;Sí
106559262;Piso;avenida del General Avilés;398000;3;2;Benicalap;Sí;Sí
104245157;Piso;Barrio Benicalap;370000;2;2;Benicalap;Sí;Sí
101034244;Piso;Barrio Benicalap;185000;2;1;Benicalap;Sí;No
106668454;Piso;calle del Poeta Serrano Clavero;295000;3;2;Benicalap;Sí;No
106380156;Piso;plaza de Regino Mas, 6;192000;4;1;Ciutat Fallera;No;No
103844945;Piso;avenida de les Corts Valencianes;550000;2;2;Benicalap;Sí;Sí
106600108;Piso;Barrio Benicalap;185000;3;1;Benicalap;Sí;No
105110590;Piso;Barrio Benicalap;579000;3;2;Benicalap;Sí;Sí
106642154;Piso;Barrio Benicalap;182900;3;1;Benicalap;Sí;No
104679678;Piso;avenida de les Corts Valencianes;579000;3;2;Benicalap;Sí;Sí
106312863;Piso;Barrio Ciutat Fallera;118900;2;1;Ciutat Fallera;No;No
106579853;Piso;Barrio Benicalap;145000;3;1;Benicalap;Sí;No
106420077;Piso;Barrio Ciutat Fallera;135000;3;1;Ciutat Fallera;No;No
103374633;Piso;Barrio Benicalap;183000;3;1;Benicalap;Sí;No
104556102;Piso;Barrio Benicalap;286000;3;1;Benicalap;Sí;No
106690940;Piso;calle de la Florista;119900;3;1;Ciutat Fallera;No;No
106685172;Piso;calle de Salvador Tusset;215000;2;1;Benicalap;Sí;No
101741067;Piso;Barrio Benicalap;349000;3;2;Benicalap;No;No
104942828;Piso;avenida de les Corts Valencianes;430000;2;2;Benicalap;Sí;Sí
106676132;Piso;calle de la Florista, 3;350000;4;2;Benicalap;Sí;Sí
106247835;Piso;Segàrria, 15;156000;1;1;Benicalap;Sí;No
106247979;Piso;Segàrria, 15;185000;1;1;Benicalap;Sí;No
106247963;Ático;Segàrria, 15;242000;1;1;Benicalap;Sí;No
106247957;Piso;calle Segàrria, 15;177000;1;1;Benicalap;Sí;No
105312555;Piso;Barrio Nou Benicalap;310000;3;2;Nou Benicalap;Sí;Sí
106469455;Piso;calle José Grollo, 30;280000;2;2;Benicalap;Sí;Sí
106469303;Piso;calle José Grollo, 30;259000;2;2;Benicalap;Sí;Sí
106469492;Piso;calle José Grollo, 30;178000;1;1;Benicalap;Sí;No
106651244;Piso;avenida Doctor Peset Aleixandre, 104;335000;3;2;Benicalap;Sí;Sí
106651224;Piso;avenida Doctor Peset Aleixandre, 104;199000;1;1;Benicalap;Sí;Sí
106651290;Piso;avenida Doctor Peset Aleixandre, 104;299000;3;2;Benicalap;Sí;Sí
106651255;Ático;avenida Doctor Peset Aleixandre, 104;389000;3;2;Benicalap;Sí;Sí
106553375;Piso;avenida del Doctor Peset Aleixandre, 122;172000;3;1;Benicalap;No;No
101806770;Piso;calle de Sant Josep de Pignatelli;349000;2;2;Benicalap;No;No
104211846;Piso;calle de Francesc Barrachina Esteban, 8;139000;2;1;Benicalap;Sí;No
106247951;Piso;Segàrria, 15;239000;2;2;Benicalap;Sí;No
106247978;Piso;Segàrria, 15;262000;2;2;Benicalap;Sí;No
106247907;Piso;Segàrria, 15;235000;2;2;Benicalap;Sí;No
105971672;Piso;calle Rio Segre, 25;392000;3;2;Nou Benicalap;Sí;No
105373725;Ático;calle Rio Segre, 25;525000;4;2;Nou Benicalap;Sí;No
103349419;Ático;calle Riu Segre s/n;367000;3;2;Nou Benicalap;Sí;No
104437360;Piso;Barrio Benicalap;215000;2;1;Benicalap;Sí;No
106679748;Piso;Barrio Benicalap;295000;3;1;Benicalap;No;No
106289858;Piso;calle del Periodista Gil Sumbiela;159900;3;1;Benicalap;Sí;No
106651263;Piso;avenida Doctor Peset Aleixandre, 104;340000;3;2;Benicalap;Sí;Sí
106634576;Piso;avenida del General Avilés, 28;370000;3;2;Benicalap;Sí;Sí
106610940;Piso;calle del Picaio, 25;155000;3;1;Benicalap;No;No
101654225;Duplex;avenida Burjassot, 217;364900;3;2;Benicalap;Sí;No
101654266;Piso;avenida Burjassot, 217;298700;3;2;Benicalap;Sí;No
106641667;Piso;Barrio Benicalap;138500;3;1;Benicalap;No;No
106691215;Piso;calle dels Plàtans, 4;145000;3;1;Benicalap;No;No
106205094;Piso;calle de Sant Josep de Pignatelli;350000;4;2;Benicalap;Sí;No
106490632;Piso;calle de la Costera;640000;4;3;Benicalap;Sí;Sí
95226410;Piso;calle de la Vall d'Aiora, 25;640000;4;3;Benicalap;Sí;Sí
106371654;Piso;calle de Salvador Rubio;115900;1;1;Ciutat Fallera;No;No
106669152;Piso;avenida de Burjassot s/n;110000;3;1;Benicalap;No;No
106280733;Piso;avenida de les Corts Valencianes;480000;3;2;Benicalap;Sí;No
106397838;Piso;plaza de Regino Mas, 3;190000;4;1;Ciutat Fallera;Sí;No
106359570;Piso;avenida de les Corts Valencianes;480000;3;2;Benicalap;Sí;No
105990843;Piso;avenida de les Corts Valencianes;480000;3;2;Benicalap;Sí;No
106237678;Piso;calle del Picaio, 4;280000;4;4;Benicalap;No;No
105374346;Piso;avenida de les Corts Valencianes;410000;2;2;Benicalap;Sí;No
105836472;Piso;calle del Picaio;155000;2;1;Benicalap;No;No
106379790;Ático;calle del Riu Bidasoa;570000;4;2;Nou Benicalap;Sí;Sí
105968599;Piso;calle de la Florista;350000;4;2;Benicalap;Sí;Sí
99263039;Piso;calle de la Florista;250000;2;2;Benicalap;Sí;Sí
106505214;Piso;calle del Salze;195000;3;1;Benicalap;Sí;No
106660506;Piso;calle de Clarachet;220000;4;2;Benicalap;Sí;No
106636823;Piso;Barrio Benicalap;195000;4;2;Benicalap;Sí;No
106586163;Chalet;Barrio Benicalap;2500000;5;4;Benicalap;No;Sí
106513826;Piso;calle del Salze;190000;3;1;Benicalap;Sí;No
106344240;Piso;calle de Federico Alcácer Aguilar;300000;3;2;Nou Benicalap;Sí;Sí
106461777;Estudio;calle dels Rosers, 16;249921;0;4;Benicalap;Sí;No
106561567;Piso;calle del Salze;190000;3;1;Benicalap;Sí;No
105353345;Piso;Barrio Nou Benicalap;570000;2;1;Nou Benicalap;Sí;No
105306358;Piso;avenida de Burjassot;270000;4;2;Benicalap;Sí;No
106664573;Piso;Barrio Nou Benicalap;299000;4;2;Nou Benicalap;Sí;Sí
105578391;Piso;calle de la Florista;256000;2;3;Ciutat Fallera;No;No
84299881;Piso;calle del Doctor Nicasi Benlloch;220000;4;1;Benicalap;No;No
106465441;Piso;calle del Salze;195000;3;1;Benicalap;Sí;No
101139828;Piso;avenida Cortes Valencianas, 12;560000;3;2;Benicalap;Sí;No
106376153;Piso;calle de Loriguilla;135000;2;1;Benicalap;No;No
106170223;Piso;avenida de les Corts Valencianes;365000;2;2;Benicalap;Sí;No
105940962;Piso;JAIME SEGUNDO;180000;2;1;Ciutat Fallera;No;No
106521191;Piso;Barrio Ciutat Fallera;135000;3;1;Ciutat Fallera;No;No
106661739;Piso;calle del Doctor Nicasi Benlloch;200000;3;1;Benicalap;Sí;No
105646254;Piso;calle de la Florista;1000000;8;8;Benicalap;Sí;No
105630147;Piso;plaza de Regino Mas;74000;2;1;Ciutat Fallera;No;No
105714643;Piso;Barrio Nou Benicalap;365000;4;2;Nou Benicalap;Sí;Sí
106582813;Piso;Barrio Ciutat Fallera;118000;3;1;Ciutat Fallera;No;No
106220417;Piso;calle de la Serratella;280000;4;2;Benicalap;Sí;No
93363014;Piso;AV CORTS VALENCIANES;225000;1;1;Benicalap;Sí;No
105815222;Piso;calle del Doctor Nicasi Benlloch;355000;3;2;Benicalap;Sí;Sí
102518272;Piso;calle de Sant Roc;250000;3;1;Benicalap;No;No
105954810;Piso;calle del Salze;195000;3;1;Benicalap;Sí;No
106656847;Piso;avenida San José Artesano;49000;3;1;Ciutat Fallera;No;No
100791539;Piso;plaza de Regino Mas;74000;2;1;Ciutat Fallera;No;No
106568781;Piso;calle del Salze;195000;3;1;Benicalap;Sí;No
106657356;Piso;calle de Peris Celda;50900;1;1;Ciutat Fallera;No;No
106346239;Piso;calle del Monestir de Poblet;245000;3;1;Benicalap;Sí;No
98791828;Piso;calle de la Florista;255000;2;2;Benicalap;Sí;Sí
105410129;Piso;Barrio Benicalap;145000;2;1;Benicalap;Sí;No
106418321;Piso;avenida San José Artesano;145000;3;1;Ciutat Fallera;No;No
106303341;Piso;Barrio Nou Benicalap;289000;2;2;Nou Benicalap;Sí;Sí
105992620;Ático;Barrio Nou Benicalap;299000;1;1;Nou Benicalap;Sí;Sí
106394229;Piso;Barrio Benicalap;220000;3;2;Benicalap;Sí;Sí
105850073;Piso;Barrio Benicalap;174000;1;1;Benicalap;Sí;No
106082769;Piso;calle de Salvador Rodríguez Bronchú;217150;3;2;Nou Benicalap;No;No
106628883;Piso;calle de la Florista;60000;3;1;Ciutat Fallera;No;No
106201420;Piso;avenida de Burjassot;170000;2;1;Ciutat Fallera;No;No
106262219;Piso;calle del Picaio;280000;1;1;Benicalap;No;No
105760236;Piso;calle del Doctor Nicasi Benlloch, 72;170000;3;1;Benicalap;Sí;No
106464115;Piso;calle de los Rosales;155000;3;1;Benicalap;No;No
106380153;Piso;Barrio Benicalap;207000;4;1;Benicalap;Sí;No
106101495;Piso;Barrio Benicalap;190000;3;1;Benicalap;Sí;No
106323141;Piso;Barrio Benicalap;170000;2;1;Benicalap;No;No
106392413;Piso;calle de José Grollo, 15;400000;6;3;Benicalap;No;No
105971807;Ático;calle de Salvador Rodríguez Bronchú;299000;1;1;Nou Benicalap;Sí;Sí
105943316;Piso;Barrio Benicalap;275000;5;2;Benicalap;Sí;Sí
104889797;Piso;avenida de Burjassot;161000;5;2;Benicalap;Sí;No
106519833;Piso;Barrio Benicalap;195000;3;1;Benicalap;Sí;No
106197439;Piso;calle de Sant Josep de Pignatelli s/n;350000;4;2;Benicalap;Sí;No
106345895;Piso;calle del Monestir de Poblet;280000;3;1;Benicalap;Sí;No
106225823;Piso;Barrio Benicalap;275000;5;2;Benicalap;Sí;No
105632181;Piso;calle de Peris Celda;50900;1;1;Ciutat Fallera;No;No
106208582;Ático;avenida Hermanos Machado, 159;255000;1;1;Nou Benicalap;Sí;Sí
106346310;Piso;calle del Doctor Nicasi Benlloch;198000;2;1;Benicalap;Sí;Sí
105414270;Piso;Barrio Benicalap;300000;3;1;Benicalap;Sí;No
104888591;Piso;calle d’Andreu Alfaro;116100;1;1;Ciutat Fallera;No;No
105233010;Piso;calle de la Florista;180000;2;1;Benicalap;No;No
106205939;Piso;Barrio Benicalap;225000;3;2;Benicalap;Sí;No
106621065;Piso;Barrio Ciutat Fallera;124900;3;1;Ciutat Fallera;No;No
106600861;Piso;calle del Riu Nervión;189000;1;1;Nou Benicalap;Sí;No
106360140;Piso;plaza de Regino Mas;107500;3;1;Ciutat Fallera;No;No
106600861;Piso;calle del Riu Nervión;189000;1;1;Nou Benicalap;Sí;No
31883787;Piso;avenida de burjassot, 279;175000;4;1;Ciutat Fallera;No;No
105444573;Piso;plaza de Regino Mas;91000;3;1;Ciutat Fallera;No;No
103702104;Piso;calle de Pere Cabanes;176000;3;2;Nou Benicalap;No;No
106514005;Piso;calle del Salze, 1;190000;3;1;Benicalap;Sí;No
106153017;Piso;calle de Loriguilla;85000;2;1;Benicalap;No;No
105618001;Piso;calle de Loriguilla;85000;2;1;Benicalap;No;No
106031318;Piso;calle del Periodista Gil Sumbiela, 12;225000;3;2;Benicalap;Sí;No
102145851;Piso;Barrio Benicalap;180000;3;1;Benicalap;No;No
105024364;Piso;calle de les Alqueries de Bellver, 100;350000;4;2;Benicalap;Sí;Sí
106678446;Piso;Barrio Benicalap;150000;2;2;Benicalap;Sí;No
104352845;Piso;calle de les Acàcies;130000;3;1;Benicalap;Sí;No
98792345;Piso;calle de la Carrasqueta, 11;260000;2;2;Benicalap;Sí;Sí
105262788;Piso;Barrio Benimaclet;550000;4;3;Benimaclet;Sí;Sí
106293349;Piso;Barrio Benimaclet;490000;5;2;Benimaclet;Sí;No
106684982;Piso;Barrio Benimaclet;225000;2;1;Benimaclet;No;No
106306174;Piso;avenida del Primat Reig;490000;5;2;Benimaclet;Sí;No
101025755;Chalet;Barrio Benimaclet;415000;4;3;Benimaclet;No;Sí
106454659;Piso;avenida del Primat Reig, 139;560000;4;2;Benimaclet;Sí;No
106667356;Piso;calle del Reverend José Maria Pinazo;210000;3;1;Benimaclet;Sí;No
105973055;Piso;calle del Reverend José Maria Pinazo, 40;550000;4;3;Benimaclet;Sí;Sí
106651600;Chalet;camino de Vera;750000;5;2;Camí de Vera;No;No
105973443;Piso;calle de Benicarló;197000;1;1;Benimaclet;Sí;No
106004249;Duplex;calle del Doctor Vicent Zaragoza;295000;1;1;Camí de Vera;Sí;No
101551240;Chalet;Barrio Benimaclet;415000;4;3;Benimaclet;No;No
106126995;Piso;calle de la Guàrdia Civil;250000;2;1;Benimaclet;Sí;No
99758704;Chalet;camino de Farinós;900000;4;1;Camí de Vera;No;No
106083784;Duplex;Barrio Benimaclet;298000;1;1;Benimaclet;Sí;No
101655058;Piso;Barrio Camí de Vera;244500;4;2;Camí de Vera;Sí;No
101078546;Piso;avenida de Valladolid;250000;3;1;Benimaclet;Sí;No
106490027;Piso;calle de la Guàrdia Civil, 7;425000;4;2;Benimaclet;Sí;No
106481001;Piso;calle del Doctor Vicent Zaragoza, 95;189000;3;2;Camí de Vera;Sí;No
105594828;Piso;Barrio Benimaclet;850000;5;3;Benimaclet;Sí;Sí
106305376;Piso;Barrio Benimaclet;520000;4;2;Benimaclet;Sí;Sí
103855618;Ático;Reverendo Rafael Tramoyeres, 34;237900;1;1;Benimaclet;Sí;No
103855612;Ático;Reverendo Rafael Tramoyeres, 34;317900;1;1;Benimaclet;Sí;No
103855602;Piso;Reverendo Rafael Tramoyeres, 34;299900;3;2;Benimaclet;Sí;No
103855583;Piso;Reverendo Rafael Tramoyeres, 34;241900;2;1;Benimaclet;Sí;No
103855582;Piso;Reverendo Rafael Tramoyeres, 34;242900;2;2;Benimaclet;Sí;No
103855611;Piso;Reverendo Rafael Tramoyeres, 34;247900;2;1;Benimaclet;Sí;No
103855079;Piso;Reverendo Rafael Tramoyeres, 34;237900;2;2;Benimaclet;Sí;No
103855610;Piso;Reverendo Rafael Tramoyeres, 34;278900;3;2;Benimaclet;Sí;No
106604226;Piso;plaza José María Trenco;170000;3;1;Benimaclet;Sí;No
105941245;Chalet;camino de Farinós s/n;900000;4;2;Camí de Vera;No;Sí
103186308;Piso;camino VIEJO ALBORAIA;385000;5;3;Benimaclet;Sí;Sí
106518534;Piso;calle d'Utiel;280000;3;2;Benimaclet;Sí;No
106552738;Piso;calle d'Almassora;390000;4;2;Benimaclet;Sí;Sí
104207310;Chalet;Barrio Benimaclet;415000;4;2;Benimaclet;No;No
106555399;Piso;Barrio Benimaclet;269500;4;1;Benimaclet;Sí;No
106129944;Piso;Barrio Benimaclet;495000;3;2;Benimaclet;Sí;Sí
95732526;Chalet;calle Rector Zaragoza;475000;4;3;Benimaclet;No;Sí
106612659;Chalet;camino de Vera;750000;5;2;Camí de Vera;No;No
106283302;Piso;avenida del Primat Reig;239999;4;1;Benimaclet;Sí;Sí
106599608;Piso;calle Soledad Domenech;375000;3;2;Benimaclet;No;No
106648266;Chalet;camino de Vera;750000;5;2;Camí de Vera;No;No
106377896;Piso;Barrio Benimaclet;210000;3;1;Benimaclet;Sí;No
105136013;Piso;calle d'Emili Baró, 14;150000;4;2;Benimaclet;No;No
